Account,Allocation
0xe67de4aed51b94e6462c3d26c4d28b4e545d7638,157999628602236720439486
0xd5431fecbb14f20f8ee68360b586d84d589f9f77,101513145055063796473568
0xaac0aa431c237c2c0b5f041c8e59b3f1a43ac78f,95630921990742389114905
0x0bf93ea5a1fa4ce3dd22c7ffd314462d3869777f,56453627474757768564287
0x8a8743afc23769d5b27fb22af510da3147bb9a55,41684420480878093068228
0xb3df5271b92e9fd2fed137253bb4611285923f16,40450058855746937771004
0xec7929dcbb91793596fdded022307f1627fc9017,37786515380060988335673
0x8a8e9730646efd1e57453054f1a6366897d7cb1c,35877730447137394885722
0x3ff634ce65cdb8cc0d569d6d1697c41aa666cea9,34579620669849742354837
0xa52fd396891e7a74b641a2cb1a6999fcf56b077e,31720905225861919140621
0xceacc82ddcdb00bfe19a9d3458db3e6b8aef542b,31700980734228619036103
0x597f540bb63381ffa267027d2d479984825057a8,31284811046870213216440
0xd91147824c6d8a709e1a4585b22d5138d6b8562e,31232036454987105012736
0x9c5083dd4838e120dbeac44c052179692aa5dac5,29786968340102315555721
0xa22eb3338dfd69458513a1f6d4742ab29f7ef333,29786968261236643508777
0xd50f6325b568a978a0d95106f35e368fac475332,28909405367907194120948
0x4daa44cf5ebbad57c45c79abe805d30ddb74f644,28476457001413818563247
0xf96da4775776ea43c42795b116c7a6eccd6e71b5,25415783794225086077719
0xdfc95aaf0a107daae2b350458ded4b7906e7f728,24257612093021981975521
0xbec5e1ad5422e52821735b59b39dc03810aae682,19967242637543697797738
0x06808e6d257e06236bfe1db74fd62c1f582806af,16315555533118791375000
0x3650cde7403d45f09e34f2d3704ad8e1c02b5c58,16315555533118791375000
0xbe7760adb8e08218d984d50822e7656d46effd40,16315555533118791375000
0x79e970f953c7cfbbb74e05b6df54f75db4a3cad6,16315555533118791375000
0x41431b29eca702002a779c8b7f6f9364774c9621,16315555533118791375000
0xb79ae2655a5884e9c474ab9015d662bb825e58ce,16315555533118791375000
0xca054c84ea710f7e0b71c781cf1809b2a261ab99,16315555533118791375000
