Account,Allocation,BAL,vlCVX,Voting power,Vote,NFT
0xfe73b5a595405bac396c329c674571a7a3db528c,5967324220530058482836,79847663232722450629808,0,0,-,0
0x9a67f1940164d0318612b497e8e6038f902a00a4,5911418834029525896767,0,372814739468489482533187,0,-,0
0xcb33844b365c53d3462271cee9b719b6fc8ba06a,5905706609306861537334,78750234334588159981649,0,0,-,0
0xe2c91f3409ad6d8ce3a2e2eb330790398cb23597,5890535979437006062653,78480624174933574977331,0,0,-,0
0x6ced6e97baab4f441d6342e0e9257e09f1aaff35,5359730838140650121204,17871986726977382000000,0,7776341863699792156694,Y,0
0x4a65e76be1b4e8dd6ef618277fa55200e3f8f20a,5308294717674522871675,68311853169239577255212,0,0,-,0
0xb5ff60f970eff7311a94de05e38a183f8fe1e781,5273391900572989470675,19382776302111324000000,0,7322856590663735005364,Y,0
0x9fd31424cfceab50218906bc1b3d87fe7778ca61,5068131151897597419520,26410587939518213000000,11899644421804547164356,4603415993490573782765,Y,0
0x967159c42568a54d11a4761fc86a6089ed42b7ba,5031531256716576535837,63604756990000001678709,0,0,-,0
0x96958d02ff299d9843e9c850332fb2d7d8481e62,5022418133450032655674,0,300000000000000000000000,0,-,0
0x3f3e305c4ad49271ebda489dd43d2c8f027d2d41,5022393051962715617265,0,299998002439002564642578,0,-,0
0x3744da57184575064838bbc87a0fc791f5e39ea2,4948415801891480441554,62207719100000002072193,0,0,-,0
0xf3d9b8f6af674e82943b4685728b00d13a62fc9e,4940006889279861752584,0,293454544172946902709989,0,-,0
0x9e2b6378ee8ad2a4a95fe481d63caba8fb0ebbf9,4825724635093291908561,0,284437911865472560748458,0,-,0
0xfacf46ea1e0ad2681103e726f64cfc503e9da5d6,4816063063200455871993,59999217239999998128042,0,0,-,0
0xbc280becab2bf6ddc0c126e9179d27bb0ebe52a3,4809236595511123596225,0,283142866041809938876915,0,-,0
0x8180d59b7175d4064bdfa8138a58e9babffda44a,4805775868462218568311,59828398935784582135966,0,0,-,0
0x5ed64f02588c8b75582f2f8efd7a5521e3f897cc,4786154842786995686765,0,0,9015595582286005083006,Y,0
0x92ea9272b0476174b19a0e0499ff40e24c5ca895,4716563368427062414412,58352158998393890215084,0,0,-,0
0x10aa978d5fb68dc134a4843756257e67c523a402,4694167694761807069881,57983019999999996798579,0,0,-,0
0x51c2cef9efa48e08557a361b52db34061c025a1b,4653259944012344931252,0,270965408124297217000276,0,-,0
0xb4982f934db398cd4e1f24a581ebdf5df9ba4069,4629108841453967102097,910579107531435397505,253073785848403203999624,0,-,0
0x53572e897bc04a398ab9df869eb5aa7d3f17e248,4551371444110433003516,17879182539296479216339,0,5721826785261266195448,Y,0
0x3bfe14b758d1cec88e29c4748c09420b6e4319db,4547463713345330688753,55579549309748348605353,0,0,-,0
0xdff2aea378e41632e45306a6de26a7e0fd93ab07,4506054061354216173640,0,259596777287199860438704,0,-,0
0x3a22107564513d257f79394c3e58eb8a0f54043c,4473371438227244652808,14967203552859751804962,0,5970942276968154146743,Y,0
